ID,GP,PTS,REB,AST,STL,BLK,TO,FG%,3P%,FT%,FGM,FGA,3PM,3PA,FTM,FTA,OR,DR,OR%,TO%,AST/TO,PF,SC_EFF,SH_EFF,FT_RATE,PACE,OPP_PTS,OPP_REB,OPP_AST,OPP_STL,OPP_BLK,OPP_TO,OPP_FG%,OPP_3P%,OPP_FT%,OPP_FGM,OPP_FGA,OPP_3PM,OPP_3PA,OPP_FTM,OPP_FTA,OPP_OR,OPP_DR,OPP_OR%,OPP_TO%,OPP_AST/TO,OPP_PF,OPP_SC_EFF,OPP_SH_EFF,OPP_FT_RATE,OFF_EFF,DEF_EFF,NET_RTG,EFF_FG%,4FAC,OPP_EFF_FG%
333,24.0,90.291664,39.5,15.875,7.625,4.2083335,12.291667,48.01587164402008,38.239338994026184,79.45454716682434,30.25,63.0,11.583333,30.291666,18.208334,22.916666,12.5,27.0,0.3816794,0.1439726734318137,1.2915255,19.25,1.4332011,0.57208997,0.3637566031746032,997.4235967035365,76.875,33.958332,11.958333,7.6666665,4.0833335,12.041667,43.15718114376068,31.72541856765747,71.55635356903076,26.541666,61.5,7.125,22.458334,16.666666,23.291666,11.208333,22.75,0.3206198,0.14371245965212437,0.9930796,20.0,1.25,0.48949865,0.37872627642276424,9.052489263178852,7.707357260653369,1.3451320025254834,0.5720899444444444,0.39572851661192165,0.4894986341463414
12,24.0,90.083336,43.208332,18.875,8.833333,3.4583333,12.0,48.840126395225525,36.81102395057678,72.7748692035675,32.458332,66.458336,7.7916665,21.166666,17.375,23.875,13.916667,29.291666,0.40931374,0.13488702806738273,1.5729166,16.333334,1.3554859,0.5470219,0.35924763448786917,977.6550204744501,73.458336,32.208332,14.583333,6.9583335,3.5833333,14.375,42.70557165145874,34.69387888908386,70.7571804523468,26.833334,62.833332,8.5,24.5,11.291667,15.958333,8.791667,23.416666,0.24421297,0.17066366202757,1.0144928,19.333334,1.1690981,0.49469495,0.2539787799252792,9.214225275116277,7.513727691425459,1.7004975836908178,0.5470219003075852,0.38828041031306015,0.4946949813197874
96,24.0,88.916664,38.666668,17.708334,7.8333335,6.375,10.041667,49.1761714220047,40.721648931503296,75.16340017318726,32.333332,65.75,9.875,24.25,14.375,19.125,10.333333,28.333334,0.30922693,0.11925026078992058,1.7634854,16.583334,1.3523448,0.5668568,0.2908745247148289,1074.8776389753812,78.125,37.625,14.791667,6.2083335,3.9583333,12.25,42.03454852104187,31.98128044605255,70.77534794807434,27.375,65.125,8.541667,26.708334,14.833333,20.958334,12.25,25.375,0.3245033,0.14146040985224545,1.2074829,16.958334,1.1996161,0.4859245,0.32181702879078694,8.272259164750988,7.268269165453294,1.0039899992976942,0.5668567604562738,0.362031834087214,0.4859245067178503
2535,26.0,87.96154,36.423077,18.615385,10.923077,4.0,13.115385,49.81684982776642,40.72948396205902,72.20149040222168,31.384615,63.0,10.307693,25.307692,14.884615,20.615385,11.076923,25.346153,0.35036495,0.15396146348402362,1.4193548,18.73077,1.3962148,0.5799756,0.32722833333333334,904.010926975662,73.42308,35.423077,13.5,8.192307,3.8461537,17.461538,42.48536229133606,34.049585461616516,70.64056992530823,25.115385,59.115383,7.923077,23.26923,15.269231,21.615385,11.807693,23.615385,0.34728506,0.2028343183429161,0.77312773,18.038462,1.2420299,0.49186727,0.36564738149459336,9.730141237813614,8.121923951255152,1.608217286558462,0.5799755793650793,0.38963783761703763,0.4918672945077595
2250,25.0,85.16,40.4,16.12,7.24,3.88,10.24,50.91830492019653,34.117648005485535,70.67209482192993,32.16,63.16,6.96,20.4,13.88,19.64,11.68,28.72,0.3767742,0.1248147281379203,1.5742188,15.76,1.3483217,0.56428117,0.3109563014566181,955.3537083215897,68.56,31.56,11.2,5.68,2.88,11.88,40.1166558265686,32.46977627277374,73.46938848495483,24.76,61.72,7.52,23.16,11.52,15.68,9.92,21.64,0.26839826,0.14757910637621247,0.94276094,17.28,1.110823,0.46208686,0.254050550874919,8.913975971225682,7.176399631132373,1.7375763400933089,0.564281190626979,0.37891444350376446,0.4620868438107583
2509,25.0,85.04,41.36,18.44,5.8,3.96,11.52,49.056604504585266,40.262171626091,70.87227702140808,29.12,59.36,8.6,21.36,18.2,25.68,12.32,29.04,0.4074074,0.14018145710836805,1.6006944,13.92,1.4326146,0.5630054,0.4326145552560647,985.976673246255,69.8,29.84,15.08,6.72,2.32,10.0,41.307106614112854,31.7275732755661,69.83240246772766,26.04,63.04,7.64,24.08,10.0,14.32,9.04,20.8,0.24432433,0.12603855771557634,1.508,20.4,1.1072335,0.47430202,0.22715736040609139,8.624950499083525,7.079274986312675,1.54567551277085,0.5630053908355795,0.40662118389973356,0.47366751269035534
2750,26.0,84.96154,34.153847,16.23077,5.923077,2.8461537,11.692307,52.8999388217926,37.02882528305054,76.5531063079834,31.923077,60.346153,6.423077,17.346153,14.692307,19.192308,8.923077,25.23077,0.31393775,0.1452765929290869,1.3881578,15.538462,1.4079031,0.582218,0.31803697577872114,978.3948011235907,81.11539,32.615383,13.730769,7.230769,2.7307692,11.730769,47.42014706134796,36.34895086288452,70.98121047019958,29.692308,62.615383,8.653846,23.807692,13.076923,18.423077,10.269231,22.346153,0.31191587,0.1422733891405391,1.1704918,17.653847,1.2954545,0.5433047,0.2942260530451439,8.6837685464426,8.29066036602473,0.39310818041787066,0.5822179833070719,0.3796994379219087,0.543304686006632
282,26.0,84.88461,35.923077,17.115385,6.3076925,1.9230769,11.846154,50.166112184524536,38.35078477859497,77.84200310707092,29.038462,57.884617,11.269231,29.384615,15.538462,19.961538,7.3076925,28.615385,0.25333333,0.1508798045695881,1.4448051,16.923077,1.4664452,0.5990033,0.3448504807417142,980.318706430963,72.23077,32.615383,10.615385,6.1538463,3.4230769,11.807693,43.42431724071503,32.11009204387665,72.3150372505188,26.923077,62.0,6.730769,20.961538,11.653846,16.115385,9.115385,23.5,0.2598684,0.1459569520816999,0.8990228,17.307692,1.1650124,0.48852357,0.259925564516129,8.658878938364706,7.3680905532211955,1.290788385143511,0.599003315509542,0.37971551545747095,0.48852357258064516
256,26.0,84.69231,39.5,16.807692,9.538462,3.1538463,11.0,47.720545530319214,34.96063053607941,70.63339948654175,31.0,64.96154,8.538462,24.423077,14.153846,20.038462,11.884615,27.615385,0.34994337,0.1297499338206924,1.527972,17.115385,1.30373,0.5429248,0.30846654805289403,923.6329523091747,68.57692,34.307693,10.384615,5.9615383,3.3076923,15.307693,41.09589159488678,28.544774651527405,71.84466123580933,24.23077,58.96154,5.8846154,20.615385,14.230769,19.807692,9.884615,24.423077,0.28460687,0.1844642231879816,0.67839193,16.961538,1.1630789,0.46086106,0.33594258223241796,9.16947687804563,7.424693957545673,1.744782920499957,0.5429247982729474,0.3658660589722862,0.4608610579031688
2172,27.0,84.666664,36.37037,13.777778,6.2222223,4.0740743,10.037037,45.78668177127838,36.46153807640076,74.88653659820557,28.777779,62.851852,8.777778,24.074074,18.333334,24.481482,10.851851,25.518518,0.31847826,0.11997308260038186,1.3726938,16.555555,1.3470831,0.52769595,0.38951090892277923,1053.4837651003388,81.59259,36.11111,12.888889,5.148148,4.2222223,10.703704,46.48617506027222,35.62822639942169,73.46153855323792,29.88889,64.296295,7.6666665,21.518518,14.148149,19.25926,10.555555,25.555555,0.30678147,0.12822788638466034,1.2041522,19.407408,1.2690092,0.5244816,0.29953918806674634,8.036826651233296,7.74502585640024,0.29180079483305654,0.5276959539712529,0.36319394057701354,0.5244815933795252
